BB_Title,BB_Artist,SP_Title,SP_Artist,Match_Ratio,SP_id
Over,Blake Shelton,when the party’s over,James Blake,100,0U9oiRl4hYwORmWwkYihZN
I Do,Young Jeezy Featuring Jay-Z & Andre 3000,I Don't Know,YoungBoy Never Broke Again,100,58H5750cX5LquhcJ7TCHiO
Naked,Dev & Enrique Iglesias,Naked Alone,L Devine,100,0AlUE5KtWmqhb7I869f6mY
You,Chris Young,You Should Probably Leave,Chris Stapleton,100,2UikqkwBv7aIvlixeVXHWt
Heartbeat,The Fray,Heartbeats,The Knife,100,2YacpExEbX9tF8IbFlFOo4
Nothing,The Script,FEEL NOTHING,The Plot In You,100,4xDwCYhobDehSBGUmd5H6Y
Just Can't Get Enough,The Black Eyed Peas,Just Can't Get Enough - Radio Mix,The Saturdays,100,5HLxyoxczu6uZls774Sylo
My Head And My Heart,Ava Max,80,Ava Max,100,1KixkQVDUHggZMU9dUobgm
Bad Bad,YoungBoy Never Broke Again,Bad Morning,YoungBoy Never Broke Again,100,5N14CXMyPYy37HZcspt87C
I Do It,Lil Wayne Featuring Big Sean & Lil Baby,DONT WANT IT,Lil Nas X,100,4vsJWPwWPS27gRM4oLjBNO
20/20,Lil Tjay,20 Min,Lil Uzi Vert,100,0uxSUdBrJy9Un0EYoBowng
God Is,Kanye West,Follow God,Kanye West,100,2QpGZOhTCHHiKmpSO9FW4h
Bad Bad Bad,Young Thug Featuring Lil Baby,Bad Morning,YoungBoy Never Broke Again,100,5N14CXMyPYy37HZcspt87C
ME!,Taylor Swift Featuring Brendon Urie,You Belong With Me,Taylor Swift,100,3GCL1PydwsLodcpv0Ll1ch
BAD!,XXXTENTACION,bad vibes forever,XXXTENTACION,100,03eJ2DclFWXYU8GWgANdmZ
I Am,Lil Baby & Gunna,AM I DREAMING (feat. Miley Cyrus),Lil Nas X,100,6isTQfKXhNO3EyJd9mSxx8
Dope N****z,Lil Wayne Featuring Snoop Dogg,Dope Boyz,"Lil Sheppard, Ree-Up, Grip, Lil Zeke, and G-Money",100,10QIKi4BH9IQGuXYf2MJWR
Fire,KIDS SEE GHOSTS,4th Dimension,KIDS SEE GHOSTS,100,6JyEh4kl9DLwmSAoNDRn5b
Three,Future & Young Thug,3 Vets,The Future Kingz,100,7B2rgsfMqzDCwyChJn0TKr
Say A',A Boogie Wit da Hoodie,Say You Won't Let Go,James Arthur,100,5uCax9HTNlzGybIStD3vDh
Two,Lil Uzi Vert,20 Min,Lil Uzi Vert,100,0uxSUdBrJy9Un0EYoBowng
My Sh*t,A Boogie Wit da Hoodie,Put Your Head On My Shoulder,Paul Anka,100,2DpJ9T2RVRanZcYFHKOAfA
She's Mine Pt. 2,J. Cole,She's Mine Pt. 1,J. Cole,100,0HtOJj7Kl74s1Ngf3MWeif
All I Know,The Weeknd Featuring Future,Do It All The Time,I DONT KNOW HOW BUT THEY FOUND ME,100,14ny3vlL25p6Vix2Sb8k1b
A-YO,Lady Gaga,Yoü And I,Lady Gaga,100,6rkAY9rk1NTFB94QxG3LJR
Rock On,Tucker Beathard,Rockstar On The Roof,Tucker Booth,100,6mbhYTzw0LqLamqphZGscc
With You,Drake Featuring PARTYNEXTDOOR,Way 2 Sexy (with Future & Young Thug),Drake,100,0k1WUmIRnG3xU6fvvDVfRG
Make Me Like You,Gwen Stefani,You Make It Feel Like Christmas,Gwen Stefani,100,4cEOe9VzKpvXlWBIVLi9Ni
Love Me,The 1975,One Love / People Get Ready - Medley,Bob Marley & The Wailers,100,2HcyIzVsX45jLIxK7SH2aI
Don't It,Billy Currington,It Don't Hurt Like It Used To,Billy Currington,100,0iA1unTbTbDOWUSlbwJ1pS
L$D,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,100,7ycWLEP1GsNjVvcjawXz3z
I See You,Luke Bryan,Even Though I'm Leaving,Luke Combs,100,5Fhe63YOMZsGdB3CgCDuBi
The Days,Avicii,The Nights,Avicii,100,0ct6r3EGTcMLPtrXHDvVjc
One,Ed Sheeran,Que Locura Enamorarme De Ti,Eddie Santiago,100,1TMxv8sfUhU55AC6Ul1PU5
Don't Drop That Thun Thun!,The FiNATTiCZ,Don't Drop That Thun Thun - Remix,The Vanillas,100,48wWVKeOr8awvyj51xzde3
DONE.,The Band Perry,SO DONE,The Kid LAROI,100,5psEZhQu6lukjhavJo4AbC
Stay Stay Stay,Taylor Swift,All You Had To Do Was Stay,Taylor Swift,100,0dAb8TY433dl3ZfXYCLE19
Leave You Alone,Young Jeezy Featuring Ne-Yo,Leave Me Alone,Brett Young,100,19ngGKM1Q80tzdpVLIFLxT
Lonely Boy,The Black Keys,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",100,4bEcoz1OcfMgUbp2ft8ieQ
i,Kendrick Lamar,"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,100,3q2v8QaTnHLveAQzR6gvYm
